,Url,Title,Company,Location,Last_Updated,Rent,Unit,Availability,Phone,AverageRating,# of Reviwer,WalkScore,WalkScore_desc,TransitScore,TransitScore_desc,Rent_by_room
0,https://www.apartments.com/the-alden-south-hills-apartment-homes-pittsburgh-pa/9ws6nj7/,The Alden South Hills Apartment Homes,AION Partners,"5492 Youngridge Dr, Pittsburgh, PA 15236",New,"$605 - 1,430",Studio - 3 Bed,Available Now,412-532-4826,3.6,41 Renter Reviews,48,Car-Dependent,40,Some Transit,"{'Studio': 'Call for Rent', '1 Bed': '$605 – 1,150', '2 Beds': '$705 – 1,430', '3 Beds': '$870 – 1,295'}"
1,https://www.apartments.com/the-pennsylvanian-pittsburgh-pa/xtp479p/,The Pennsylvanian,Greystar,"1100 Liberty Ave, Pittsburgh, PA 15222",1 hr Ago,"$1,187 - 3,014",Studio - 2 Bed,Available Now,866-350-8444,4.9,9 Renter Reviews,88,Very Walkable,97,Rider's Paradise,"{'Studio': '$1,187 – 1,414', '1 Bed': '$1,511 – 2,456', '2 Beds': '$1,683 – 3,014'}"
2,https://www.apartments.com/crane-village-apartments-pittsburgh-pa/j5zf8h7/,Crane Village Apartments,Dreyfuss Management,"651 Oaklynn Ct, Pittsburgh, PA 15220",New,"$750 - 1,415",Studio - 3 Bed,Available Now,412-253-4242,3.9,8 Renter Reviews,25,Car-Dependent,40,Some Transit,"{'Studio': '$750', '1 Bed': '$890 – 1,010', '2 Beds': '$1,210 – 1,415', '3 Beds': 'Call for Rent'}"
3,https://www.apartments.com/city-view-pittsburgh-pa/l1d4klg/,City View,Faros Properties,"1420 Centre Ave, Pittsburgh, PA 15219",New,"$1,148 - 2,919",Studio - 2 Bed,Available Now,412-532-1007,4.8,8 Renter Reviews,89,Very Walkable,91,Rider's Paradise,"{'Studio': '$1,202 – 2,057', '1 Bed': '$1,148 – 2,239', '2 Beds': '$1,512 – 2,919'}"
4,https://www.apartments.com/franklin-west-apartments-leasing-office-pittsburgh-pa/vs057fe/,"Franklin West Apartments, Leasing Office",Franklin West,"272 Shady Ave, Pittsburgh, PA 15206",New,"$730 - 2,010",Studio - 3 Bed,Available Now,844-823-6344,4.0,,94,Walker's Paradise,71,Excellent Transit,"{'Studio': '$730 – 1,110', '1 Bed': '$910 – 1,920', '2 Beds': '$1,185 – 1,735', '3 Beds': '$2,010'}"
5,https://www.apartments.com/carson-street-commons-pittsburgh-pa/bypghtc/,Carson Street Commons,Faros Properties,"2525-2539 E Carson St, Pittsburgh, PA 15203",New,"$1,335 - 4,315",1-2 Bed,Available Now,412-847-5472,4.9,3 Renter Reviews,86,Very Walkable,68,Good Transit,"{'1 Bed': '$1,335 – 4,315', '2 Beds': '$1,645 – 3,305'}"
6,https://www.apartments.com/bear-run-village-pittsburgh-pa/k9frr2c/,Bear Run Village,,"100 Bear Run Dr, Pittsburgh, PA 15237",New,"$990 - 1,670",1-3 Bed,Available Now,724-330-4618,4.7,9 Renter Reviews,8,Car-Dependent,0,Minimal Transit,"{'1 Bed': '$990 – 1,170', '2 Beds': '$1,185 – 1,510', '3 Beds': '$1,570 – 1,670'}"
7,https://www.apartments.com/carriage-park-apartments-pittsburgh-pa/x3e5m3m/,Carriage Park Apartments,Dreyfuss Management,"300 Chatham Park Dr, Pittsburgh, PA 15220",New,"$780 - 1,800",Studio - 3 Bed,Available Now,412-253-2894,3.9,7 Renter Reviews,25,Car-Dependent,31,Some Transit,"{'Studio': '$780 – 810', '1 Bed': '$830 – 1,035', '2 Beds': '$1,100 – 1,365', '3 Beds': '$1,730 – 1,800'}"
8,https://www.apartments.com/royal-york-pittsburgh-pa/whft4ml/,Royal York,Sterling Land Company,"3955 Bigelow Blvd, Pittsburgh, PA 15213",7 hrs Ago,"$980 - 2,550",Studio - 3 Bed,Available Now,412-253-6972,5.0,,88,Very Walkable,70,Excellent Transit,"{'Studio': '$980', '1 Bed': '$1,200 – 1,300', '2 Beds': '$1,700 – 1,830', '3 Beds': '$2,550'}"
9,https://www.apartments.com/park-view-apartments-pittsburgh-pa/8blhq53/,Park View Apartments,Faros Properties,"10 Allegheny Ctr, Pittsburgh, PA 15212",New,"$850 - 2,645",Studio - 2 Bed,Available Now,844-743-7158,4.5,20 Renter Reviews,88,Very Walkable,83,Excellent Transit,"{'Studio': '$850 – 2,390', '1 Bed': '$1,100 – 2,405', '2 Beds': '$1,400 – 2,645'}"
