,Unnamed: 0,Url,Title,Company,Location,Last_Updated,Rent,Unit,Availability,Phone,AverageRating,# of Reviwer,WalkScore,WalkScore_desc,TransitScore,TransitScore_desc,Rent_by_room,Studio,1 Bed,2 Beds,3 Beds,4 Beds,lat,lng
0,0,https://www.apartments.com/the-alden-south-hills-apartment-homes-pittsburgh-pa/9ws6nj7/,The Alden South Hills Apartment Homes,AION Partners,"5492 Youngridge Dr, Pittsburgh, PA 15236",New,"$605 - 1,430",Studio - 3 Bed,Available Now,412-532-4826,3.6,41 Renter Reviews,48,Car-Dependent,40,Some Transit,"{'Studio': 'Call for Rent', '1 Bed': '$605 – 1,150', '2 Beds': '$705 – 1,430', '3 Beds': '$870 – 1,295'}",,877.5,1067.5,1082.5,,40.340808,-79.98152209999999
1,1,https://www.apartments.com/the-pennsylvanian-pittsburgh-pa/xtp479p/,The Pennsylvanian,Greystar,"1100 Liberty Ave, Pittsburgh, PA 15222",1 hr Ago,"$1,187 - 3,014",Studio - 2 Bed,Available Now,866-350-8444,4.9,9 Renter Reviews,88,Very Walkable,97,Rider's Paradise,"{'Studio': '$1,187 – 1,414', '1 Bed': '$1,511 – 2,456', '2 Beds': '$1,683 – 3,014'}",1300.5,1983.5,2348.5,,,40.4441942,-79.9922608
2,2,https://www.apartments.com/crane-village-apartments-pittsburgh-pa/j5zf8h7/,Crane Village Apartments,Dreyfuss Management,"651 Oaklynn Ct, Pittsburgh, PA 15220",New,"$750 - 1,415",Studio - 3 Bed,Available Now,412-253-4242,3.9,8 Renter Reviews,25,Car-Dependent,40,Some Transit,"{'Studio': '$750', '1 Bed': '$890 – 1,010', '2 Beds': '$1,210 – 1,415', '3 Beds': 'Call for Rent'}",750.0,950.0,1312.5,,,40.4151398,-80.0341199
3,3,https://www.apartments.com/city-view-pittsburgh-pa/l1d4klg/,City View,Faros Properties,"1420 Centre Ave, Pittsburgh, PA 15219",New,"$1,148 - 2,919",Studio - 2 Bed,Available Now,412-532-1007,4.8,8 Renter Reviews,89,Very Walkable,91,Rider's Paradise,"{'Studio': '$1,202 – 2,057', '1 Bed': '$1,148 – 2,239', '2 Beds': '$1,512 – 2,919'}",1629.5,1693.5,2215.5,,,40.4402101,-79.9863197
4,4,https://www.apartments.com/franklin-west-apartments-leasing-office-pittsburgh-pa/vs057fe/,"Franklin West Apartments, Leasing Office",Franklin West,"272 Shady Ave, Pittsburgh, PA 15206",New,"$730 - 2,010",Studio - 3 Bed,Available Now,844-823-6344,4.0,,94,Walker's Paradise,71,Excellent Transit,"{'Studio': '$730 – 1,110', '1 Bed': '$910 – 1,920', '2 Beds': '$1,185 – 1,735', '3 Beds': '$2,010'}",920.0,1415.0,1460.0,2010.0,,40.4572371,-79.9225927
5,5,https://www.apartments.com/carson-street-commons-pittsburgh-pa/bypghtc/,Carson Street Commons,Faros Properties,"2525-2539 E Carson St, Pittsburgh, PA 15203",New,"$1,335 - 4,315",1-2 Bed,Available Now,412-847-5472,4.9,3 Renter Reviews,86,Very Walkable,68,Good Transit,"{'1 Bed': '$1,335 – 4,315', '2 Beds': '$1,645 – 3,305'}",,2825.0,2475.0,,,40.4278116,-79.9691162
6,6,https://www.apartments.com/bear-run-village-pittsburgh-pa/k9frr2c/,Bear Run Village,,"100 Bear Run Dr, Pittsburgh, PA 15237",New,"$990 - 1,670",1-3 Bed,Available Now,724-330-4618,4.7,9 Renter Reviews,8,Car-Dependent,0,Minimal Transit,"{'1 Bed': '$990 – 1,170', '2 Beds': '$1,185 – 1,510', '3 Beds': '$1,570 – 1,670'}",,1080.0,1347.5,1620.0,,40.5486382,-80.08042789999999
7,7,https://www.apartments.com/carriage-park-apartments-pittsburgh-pa/x3e5m3m/,Carriage Park Apartments,Dreyfuss Management,"300 Chatham Park Dr, Pittsburgh, PA 15220",New,"$780 - 1,800",Studio - 3 Bed,Available Now,412-253-2894,3.9,7 Renter Reviews,25,Car-Dependent,31,Some Transit,"{'Studio': '$780 – 810', '1 Bed': '$830 – 1,035', '2 Beds': '$1,100 – 1,365', '3 Beds': '$1,730 – 1,800'}",795.0,932.5,1232.5,1765.0,,40.402777,-80.0585435
8,8,https://www.apartments.com/royal-york-pittsburgh-pa/whft4ml/,Royal York,Sterling Land Company,"3955 Bigelow Blvd, Pittsburgh, PA 15213",7 hrs Ago,"$980 - 2,550",Studio - 3 Bed,Available Now,412-253-6972,5.0,,88,Very Walkable,70,Excellent Transit,"{'Studio': '$980', '1 Bed': '$1,200 – 1,300', '2 Beds': '$1,700 – 1,830', '3 Beds': '$2,550'}",980.0,1250.0,1765.0,2550.0,,40.4529229,-79.9536756
9,9,https://www.apartments.com/park-view-apartments-pittsburgh-pa/8blhq53/,Park View Apartments,Faros Properties,"10 Allegheny Ctr, Pittsburgh, PA 15212",New,"$850 - 2,645",Studio - 2 Bed,Available Now,844-743-7158,4.5,20 Renter Reviews,88,Very Walkable,83,Excellent Transit,"{'Studio': '$850 – 2,390', '1 Bed': '$1,100 – 2,405', '2 Beds': '$1,400 – 2,645'}",1620.0,1752.5,2022.5,,,40.4518425,-80.0069024
10,10,https://www.apartments.com/parklane-apartments-pittsburgh-pa/k8k522c/,Parklane Apartments,Village Green,"5700 Bunkerhill St, Pittsburgh, PA 15206",7 hrs Ago,"$1,170 - 2,700",1-3 Bed,Available 03/12/20,844-617-0572,4.9,4 Renter Reviews,61,Somewhat Walkable,46,Some Transit,"{'1 Bed': '$1,700', '2 Beds': '$1,170 – 2,325', '3 Beds': '$2,690 – 2,700'}",,1700.0,1747.5,2695.0,,40.4792841,-79.9194674
11,11,https://www.apartments.com/oakland-apartments-pittsburgh-pa/6e8q1dr/,Oakland Apartments,Lobos Management,"4629 Bayard St, Pittsburgh, PA 15213",8 hrs Ago,"$695 - 2,690",Studio - 4 Bed,Available Now,844-291-8672,4.0,,90,Walker's Paradise,71,Excellent Transit,"{'Studio': '$695 – 995', '1 Bed': '$910 – 1,275', '2 Beds': '$1,425 – 1,725', '3 Beds': '$2,690', '4 Beds': '$1,789 – 1,899'}",845.0,1092.5,1575.0,2690.0,1844.0,40.4504005,-79.9496106
12,12,https://www.apartments.com/heinz-lofts-pittsburgh-pa/m0k293k/,Heinz Lofts,"Alterra Property Group, LLC (“Alterra”)","300 Heinz St, Pittsburgh, PA 15212",4 hrs Ago,"$1,460 - 5,085",1-3 Bed,Available Now,412-847-5081,5.0,4 Renter Reviews,72,Very Walkable,66,Good Transit,"{'1 Bed': '$1,460 – 2,530', '2 Beds': '$1,865 – 4,634', '3 Beds': '$2,325 – 5,085'}",,1995.0,3249.5,3705.0,,40.4543792,-79.9902906
13,13,https://www.apartments.com/950-northshore-pittsburgh-pa/h7865f1/,950 NORTHSHORE,Amore Management Company,"950 Progress St, Pittsburgh, PA 15212",New,"$1,240 - 2,435",Studio - 2 Bed,Available Now,844-709-6853,5.0,2 Renter Reviews,80,Very Walkable,74,Excellent Transit,"{'Studio': '$1,340 – 1,485', '1 Bed': '$1,240 – 2,135', '2 Beds': '$1,760 – 2,435'}",1412.5,1687.5,2097.5,,,40.4538812,-79.9921316
14,14,https://www.apartments.com/ridge-at-robinson-pittsburgh-pa/xlh2qsp/,Ridge at Robinson,Greystar,"1501 Meredith Dr, Pittsburgh, PA 15205",New,"$1,545 - 2,482",1-3 Bed,Available Now,412-533-5788,5.0,1 Renter Reviews,37,Car-Dependent,29,Some Transit,"{'1 Bed': '$1,555 – 1,904', '2 Beds': '$1,545 – 2,177', '3 Beds': '$1,945 – 2,482'}",,1729.5,1861.0,2213.5,,40.4422199,-80.14355619999999
15,15,https://www.apartments.com/glasshouse-pittsburgh-pittsburgh-pa/mbet9fh/,Glasshouse Pittsburgh,The Bozzuto Group,"160 E Station Square Dr, Pittsburgh, PA 15219",New,"$1,650 - 2,420",1-2 Bed,Available Now,844-765-8036,5.0,1 Renter Reviews,75,Very Walkable,86,Excellent Transit,"{'1 Bed': '$1,650 – 2,420', '2 Beds': 'Call for Rent'}",,2035.0,,,,40.4318641,-80.0011765
16,16,https://www.apartments.com/edge-1909-pittsburgh-pa/33nh2kd/,Edge 1909,"The NRP Group, LLC","1909 Waterfront Pl, Pittsburgh, PA 15222",New,"$1,459 - 8,165",1-2 Bed,Available Now,844-779-8909,5.0,4 Renter Reviews,72,Very Walkable,70,Excellent Transit,"{'1 Bed': '$1,459 – 4,162', '2 Beds': '$3,193 – 8,165'}",,2810.5,5679.0,,,40.4526459,-79.986145
17,17,https://www.apartments.com/walnut-towers-at-frick-park-pittsburgh-pa/vbe85ne/,Walnut Towers at Frick Park,Walnut Capital,"7070 Forward Ave, Pittsburgh, PA 15217",4 hrs Ago,"$1,120 - 1,995",1-2 Bed,Available Now,412-206-5629,4.9,1 Renter Reviews,27,Car-Dependent,40,Some Transit,"{'1 Bed': '$1,120 – 1,605', '2 Beds': '$1,265 – 1,995'}",,1362.5,1630.0,,,40.4267512,-79.9093142
18,18,https://www.apartments.com/king-edward-4601-apartments-pittsburgh-pa/m65jljh/,King Edward 4601 Apartments,Sterling Land Company,"4601 Bayard St, Pittsburgh, PA 15213",7 hrs Ago,"$900 - 1,830",Studio - 2 Bed,Available Now,412-727-8015,4.0,,90,Walker's Paradise,71,Excellent Transit,"{'Studio': '$900 – 1,100', '1 Bed': '$1,245 – 1,750', '2 Beds': '$1,450 – 1,830'}",1000.0,1497.5,1640.0,,,40.4502127,-79.9506159
19,19,https://www.apartments.com/the-brix-at-26-pittsburgh-pa/6zm86wt/,The Brix at 26,Hudson Companies,"75 S 26th St, Pittsburgh, PA 15203",9 hrs Ago,"$1,295 - 2,540",Studio - 2 Bed,Available Now,412-275-0805,5.0,,92,Walker's Paradise,62,Good Transit,"{'Studio': '$1,365 – 1,390', '1 Bed': '$1,295 – 2,075', '2 Beds': '$1,915 – 2,540'}",1377.5,1685.0,2227.5,,,40.4267097,-79.9684478
20,20,https://www.apartments.com/ollie-at-baumhaus-pittsburgh-pa/gxewllw/,Ollie at Baumhaus,,"5522 Baum Blvd, Pittsburgh, PA 15232",9 hrs Ago,"$1,050 - 2,156",Studio - 3 Bed,Available Now,844-762-5514,5.0,4 Renter Reviews,93,Walker's Paradise,70,Excellent Transit,"{'Studio': '$1,869', '1 Bed': '$1,739 – 2,156', '3 Beds': '$1,050'}",1869.0,1947.5,,1050.0,,40.4574633,-79.9361681
21,21,https://www.apartments.com/southside-works-city-apartments-pittsburgh-pa/2s7e9tc/,SouthSide Works City Apartments,"City Club Apartments, LLC","2626 S Tunnel Blvd, Pittsburgh, PA 15203",9 hrs Ago,"$1,270 - 3,110",Studio - 3 Bed,Available Now,412-253-6497,5.0,1 Renter Reviews,85,Very Walkable,67,Good Transit,"{'Studio': '$1,270 – 1,600', '1 Bed': '$1,615 – 1,940', '2 Beds': '$1,915 – 2,705', '3 Beds': '$2,815 – 3,110'}",1435.0,1777.5,2310.0,2962.5,,40.4287502,-79.9671267
22,22,https://www.apartments.com/the-cork-factory-lofts-pittsburgh-pa/5tcr5qn/,The Cork Factory Lofts,"GMH Associates, Inc.","2349 Railroad St, Pittsburgh, PA 15222",9 hrs Ago,"$1,653 - 3,410",1-2 Bed,Available Now,866-626-1231,5.0,2 Renter Reviews,74,Very Walkable,60,Good Transit,"{'1 Bed': '$1,653 – 2,472', '2 Beds': '$2,656 – 3,410'}",,2062.5,3033.0,,,40.4544251,-79.9830472
23,23,https://www.apartments.com/arsenal-201-pittsburgh-pa/49f41lj/,Arsenal 201,Milhaus,"3922 Foster St, Pittsburgh, PA 15201",New,"$999 - 3,184",Studio - 3 Bed,Available Now,844-831-9422,5.0,,84,Very Walkable,52,Good Transit,"{'Studio': '$999 – 1,314', '1 Bed': '$1,474 – 1,998', '2 Beds': '$2,234 – 2,649', '3 Beds': '$2,919 – 3,184'}",1156.5,1736.0,2441.5,3051.5,,40.4684448,-79.9645146
24,24,https://www.apartments.com/terminal-21-pittsburgh-pa/eqe2jvp/,Terminal 21,Milhaus,"615 First Ave, Pittsburgh, PA 15219",10 hrs Ago,"$1,200 - 2,401",Studio - 2 Bed,Available Now,412-557-7578,5.0,,87,Very Walkable,97,Rider's Paradise,"{'Studio': '$1,200 – 1,300', '1 Bed': '$1,430 – 1,695', '2 Beds': '$1,950 – 2,401'}",1250.0,1562.5,2175.5,,,40.4357912,-79.9958868
25,25,https://www.apartments.com/the-alden-south-hills-apartment-homes-pittsburgh-pa/9ws6nj7/,The Alden South Hills Apartment Homes,AION Partners,"5492 Youngridge Dr, Pittsburgh, PA 15236",New,"$605 - 1,430",Studio - 3 Bed,Available Now,412-532-4826,3.6,41 Renter Reviews,48,Car-Dependent,40,Some Transit,"{'Studio': 'Call for Rent', '1 Bed': '$605 – 1,150', '2 Beds': '$705 – 1,430', '3 Beds': '$870 – 1,295'}",,877.5,1067.5,1082.5,,40.340808,-79.98152209999999
26,26,https://www.apartments.com/the-pennsylvanian-pittsburgh-pa/xtp479p/,The Pennsylvanian,Greystar,"1100 Liberty Ave, Pittsburgh, PA 15222",1 hr Ago,"$1,187 - 3,014",Studio - 2 Bed,Available Now,866-350-8444,4.9,9 Renter Reviews,88,Very Walkable,97,Rider's Paradise,"{'Studio': '$1,187 – 1,414', '1 Bed': '$1,511 – 2,456', '2 Beds': '$1,683 – 3,014'}",1300.5,1983.5,2348.5,,,40.4441942,-79.9922608
27,27,https://www.apartments.com/crane-village-apartments-pittsburgh-pa/j5zf8h7/,Crane Village Apartments,Dreyfuss Management,"651 Oaklynn Ct, Pittsburgh, PA 15220",New,"$750 - 1,415",Studio - 3 Bed,Available Now,412-253-4242,3.9,8 Renter Reviews,25,Car-Dependent,40,Some Transit,"{'Studio': '$750', '1 Bed': '$890 – 1,010', '2 Beds': '$1,210 – 1,415', '3 Beds': 'Call for Rent'}",750.0,950.0,1312.5,,,40.4151398,-80.0341199
